gene_ID	70	86	102	118	134	150	166	182	198	214	230	246	262
FOX2	656.707674541681	554.7291453777	627.762491543644	649.107571178483	653.146176485139	719.05190355038	695.5505064134339	704.27118342377	697.304930291295	703.222017885105	794.7814902214419	801.0332701033819	841.338538814211
SPCC18.05c	139.469517724392	173.308458681897	136.661980901276	144.502960933072	131.156009215024	132.720433057349	132.390590859535	133.765243200408	130.705989236337	133.426631900242	122.074052261506	134.53814689554198	140.261902663662
YDL157C	4014.6618672707896	4729.71455722014	6017.4922442098405	6295.22066982822	5450.946417844029	4545.27053438264	3734.37078615753	3596.2797660621704	3750.38546205034	3876.8958360775896	4034.22743631826	4243.211901645021	4262.92993667463
PCL6	552.474998652684	518.112404007992	590.9455585340261	611.542327052469	625.842095225315	666.629180846484	665.654778045838	627.728084165553	618.451433663735	596.2001697577809	633.7392724909121	589.216586873429	557.842051224324
PKP2	206.03187665467	195.689060490019	235.698259203831	250.422779613509	303.332296147276	301.863466664559	313.76529621788	317.504724944869	343.479820457497	341.484887379316	383.21088430513197	390.908872129317	386.968810502167
PHO8	907.3047172949301	1132.11420549767	1739.67133302769	1815.17797952268	1912.00095825897	2385.8525439166	2776.93771857498	2963.0186105762104	3080.66017050464	3212.92056953825	3214.68801109182	3169.6137378049702	3260.5850021483
SPAC750.05c  SPAC977.01  SPBC1348.02  SPBPB2B2.19c	141.48203218796002	116.487952723962	133.672538784713	136.794727988783	126.529798815656	128.609711112916	133.284945506442	130.403146078993	144.74464074946698	129.32939771516	135.760095012747	132.322879683613	133.121362159422
DAT1	1355.80815526119	1048.16303979146	1050.81821096888	942.682543675968	985.3120017816251	843.421874929823	879.871407980331	810.1074945219591	766.790724695858	680.270130994186	653.346120687637	636.876503643934	600.499002208761
SPCC830.06	108.31706488254801	87.2041948079481	110.790528063564	108.687489771089	119.316447048761	109.50057161532	114.19207071846	111.353672444417	112.90179578968599	109.164550208313	104.70475080815099	123.213473304753	116.84745618187
COA1	1103.7240824517098	1078.02293959399	1227.14086902226	1247.92618464265	1221.67392236759	1302.3598397441901	1225.8874365826598	1295.3591680722802	1343.66134430675	1410.91274414366	1455.1131612501802	1580.86827062991	1602.28701599034
YPR003C	355.566965374189	699.95317887101	307.021769893809	286.236633567188	276.700414551123	271.926915169631	265.33475774302997	260.777732627905	280.707533409702	272.15786665782997	271.611972054792	283.70591792990103	296.181415352128
AIF1	1731.8102658072598	1579.6466436011099	1537.3705812121698	1518.1583924895199	1581.90234543083	1592.8607800382001	1738.93702252838	1833.83188981667	1908.2844907306799	2016.05083572822	2050.87763347138	2078.44188202075	2090.4830070170497
YLR154C-H  YLR156C-A  YLR157C-C  YLR159C-A	296.464446564454	266.839970068806	636.552664804422	533.6370275895031	448.94808921281896	398.73524912632894	442.20101124832604	444.30340512675	481.922024970791	492.879688528567	611.623339923128	600.873686111749	577.7548226944181
PRP40	1136.1699938982401	1012.10430366345	1047.0875094732698	1108.5306895135302	1217.50267883405	1269.59521271245	1477.17364414603	1402.5833066072303	1473.4770578134198	1308.90673405012	1366.71875538134	1345.71581125395	1251.6924242451
YJL147C	457.09978041655404	396.472304583599	436.98063179780405	464.683468201295	446.170745367533	419.207845490776	416.491474585006	383.726800321955	362.082160659458	342.438554955821	329.350984767999	320.715587291039	342.628667989492
RRI1	159.341809800296	168.940764973722	179.063231858324	195.180215892138	199.43247399670398	211.93037661877102	221.29243491942	215.157346583255	220.54852647126498	215.72740472936798	225.148697817916	228.124129048145	222.29583316004502
SPCC895.03c	214.40031308375703	610.349435330471	212.39389748861802	188.26345352766398	174.17202748248502	162.94168472402902	171.557598101349	158.92840438021798	169.584166416111	154.780630598471	149.32285118639	150.10443879394302	173.80213598593602
YNL320W	1179.49334940872	1020.4803520296699	1293.6714031146	1538.93773740362	1656.6082057513502	1822.00169306969	1864.2015534322102	1854.0139890510102	2059.80835436254	2083.73313572102	2119.80564668537	2137.52266064564	2000.5105322889103
STE20	2904.32438233971	2570.07078487208	2582.15094840148	2447.17820382928	2409.63197994356	2451.5547443647	2493.37609049682	2477.99890690802	2464.0898878104604	2385.26527381518	2429.42780857177	2315.252345317	2122.16701588743
GRE1	207.79495069755902	219.743525924855	203.255095879971	176.48025146081298	187.555238658754	187.274037765667	216.701855867762	224.920751980867	276.27931823482004	390.527079110269	516.266308440703	705.2366944807069	807.5285507048841
SPBC11C11.06c	147.047335797033	237.32798144611698	148.452357210719	157.88962496430202	135.539434343485	148.827401640571	147.284813554132	144.366783375797	138.513558943013	142.985666743845	144.274701581453	156.536224756559	152.512312561389
MRPL31	3371.50863589027	3323.29581544828	3014.24728237208	2872.1947929235403	2745.55691332811	2942.9463293126396	2974.82964706044	2646.63922063689	2890.38944007961	2614.89824700278	2775.4709882269103	2592.22069504833	2455.69481552157
SPC98	434.861992353985	505.195492864954	923.645264888994	1195.99577092545	1180.235940779	1065.20141039453	1001.3667934444801	912.5179301680499	841.6380587064349	740.92329578666	709.595988401323	774.603290494006	731.2104828632221
SPBC83.16c	132.592436768035	113.136583081567	129.831116820083	126.767286408111	122.22754598268699	125.82808284827401	125.94645616238998	127.128960434347	129.486330577109	125.602421795967	130.165457538172	119.522636357234	127.62089219818199
OAR1	332.247732238779	291.28714504171603	285.87652921487097	238.030882558144	230.718022686087	233.816071729924	200.196013144136	215.88105624620601	184.09550462153598	197.08529552845502	179.821457248864	181.015384598859	179.75043123001498
