gene_ID,0,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180
FOX2,2211.180827,3698.5379479999997,1913.073871,1446.2950050000006,1457.230166,1381.360167,1501.737608,1470.603292,1608.076408,1262.540616,1289.059522,1456.400081,1399.357173,1511.604049,1419.655376,1374.411632
YDL157C,5147.679474000001,3793.777011,5859.065683,8450.350965000001,9630.022157,9079.434841,7689.785761,7848.435197,8483.917816,8702.262462,8698.571267,9452.426066,9518.847869,9228.3851,9080.111138,8699.484517
PCL6,1289.985169,1549.721077,1203.816221,1180.945289,1205.980135,1154.621676,1267.59623,1293.968368,1374.81736,1392.600154,1425.8556640000006,1346.0168310000001,1347.3666449999996,1315.5774390000001,1305.098496,1310.658507
PKP2,1081.414356,1239.53653,789.3187998999997,690.3385264,761.9809343,826.7674437000003,912.3328935000001,851.3601094,913.6199957999999,891.3841821000003,994.7160249,1003.62965,982.6274007999999,917.5681458999999,927.2021613,943.543584
PHO8,2733.785927,2921.260397,2385.860825,2830.329496000001,2312.8996469999997,1863.929466,1840.1130890000002,1956.0326280000002,2216.2911879999997,2026.506293,1867.202329,2001.521412,1991.933405,2264.06131,2489.867854,2585.3786210000007
DAT1,597.0550607999999,400.125365,979.4762651000001,945.460447,1012.16761,1233.1725390000001,1143.838756,1143.678882,994.2843641000001,1044.687616,836.4043813,1102.616879,995.9724037999997,942.5767299,996.5378720000001,940.1485129
COA1,4759.37508,5284.692747,3440.547389,3473.0622700000013,4417.370287,4346.858303,4814.864986,5307.780602000002,4557.955863,3881.188567,4234.560789,4802.171759000002,4610.640846,4774.9197060000015,4646.172823,4343.37889
YPR003C,751.2790176,1086.897489,687.717474,520.8997979,590.4907410000002,543.7322360000002,574.6519413999998,679.5562474999998,607.1908314,561.4607391,563.3692381,577.4114996000002,547.1185472,600.2204357,595.9584401000002,636.2926597999998
AIF1,2524.77717,2082.4996100000008,1885.043509,2066.0272379999997,2155.591308,2440.884478,2471.17086,2509.528603,2451.382884,2450.152451000001,2264.320727,2380.429657,2231.70452,2279.460174,2221.0206670000002,2174.466905
PRP40,2257.81069,2016.593158,2020.3282420000005,1806.452488,1834.7348129999998,1936.272391,1616.523757,1848.5141199999998,1576.875788,1677.44199,1584.604585,1716.359269,1581.686362,1525.857583,1432.620762,1403.077867
