gene_ID	54	70	86	102	118	134	150	166	182	198	214	230	246	262
FOX2	1073.6712293242401	547.842106581474	509.118268461271	461.051491530337	459.57859574054396	508.18172099265297	526.395168625853	559.2962298195749	553.8788876345201	526.672097829369	583.0241059570491	639.7928792526429	640.815387061388	690.575551306639
SPCC18.05c	138.447049583215	135.54403508999	133.048870055993	124.116303648724	131.650366361749	140.873639466128	132.00229504496	125.279500393165	146.375928439252	143.021159066414	148.479780994432	134.225596296595	145.934401964009	149.870711650397
YDL157C	2816.9661422434497	3931.7248052393898	4651.02973117423	5316.7054372644	5562.36181300152	4266.148801022	3292.87269050276	3347.58615576557	3641.5891001790296	4293.973334563871	4250.1457448149	3933.8625073893104	3575.1538068497707	3783.7886207386796
PCL6	584.673728987172	589.412161353183	588.005297730406	599.311813185112	628.5958051759491	702.709639424773	767.117335747661	771.6859667439079	744.958393579503	735.064271027191	692.56911660396	737.402051297448	727.2998956909449	796.060735728466
PKP2	214.067289018191	218.89442333128898	208.55387396723	221.761681259076	239.98836832743197	243.539119395139	265.236520000226	295.868698603337	268.540915443484	251.091279382632	244.679442928343	261.430612588178	250.13932514377498	248.650503095094
PHO8	1066.0789294806698	1119.34787819556	1391.7308221044102	1977.94129926409	1819.41495021113	1641.81012452423	1779.64925510436	2371.62487092097	2691.68796674075	2666.69628439814	2179.6465892121696	2066.0770204680603	2315.72122881124	2684.98766834007
SPAC750.05c  SPAC977.01  SPBC1348.02  SPBPB2B2.19c	124.963527176171	125.20904389629801	100.399871631485	130.441653968144	129.403869384683	113.79792614097799	123.521888557122	128.877467532645	135.926896423844	129.861126783972	134.12211331490602	129.432030803939	137.215358030488	143.354497908963
DAT1	1013.1018317536	1091.37118722074	1045.0455221972802	942.340432261346	880.032786608443	777.6404355822959	788.5370900481599	708.6716461565351	689.9024476538079	714.677807474028	750.042975764319	660.133846910756	699.686837432411	606.112510146539
SPCC830.06	106.49369851728001	108.075208188729	83.7755279248683	107.549905896168	101.60942684941999	91.33563284874229	104.433874686637	105.914436919884	116.256725023324	112.79090590022601	119.136805058773	105.99398616286999	107.583816696102	111.175087578669
COA1	767.733543541492	1002.87622890649	1017.9387188435	1219.08600696848	1213.78479177685	1213.75379553682	1309.95465569695	1360.45643323959	1381.8833016270598	1039.35466180729	1223.26559061353	1361.43461403348	1284.97652607337	1316.43420343096
YPR003C	334.54525511028703	350.860497732079	323.15026562453204	404.546172195197	394.561517142838	383.635995680344	441.488510133807	394.76094781625505	327.378798993759	378.28069534813204	382.583121678973	404.879882754973	362.66484846077697	360.062992798591
AIF1	1916.93272854935	1871.61792973528	1761.44284037996	1607.42320768124	1394.87813104059	1260.4586066217998	1373.36496390915	1516.6414554149699	1503.07091903444	1568.5721446015302	1422.2211758225599	1409.53551270859	1562.31185191005	1551.22493526862
YLR154C-H  YLR156C-A  YLR157C-C  YLR159C-A	192.455838852234	231.600335802643	275.822412138177	279.601284345311	219.45260813416198	253.754065505868	228.639297906417	290.842796549893	296.10422482446	239.429800245065	274.867678644319	318.25450446056703	231.497990087825	532.241813881488
PRP40	1151.33633515218	1044.23588749496	841.817932847099	874.859443604882	869.9417828457581	878.0355882220889	915.540727091406	940.8955415001781	859.1810099543	943.3324721452091	859.731006773044	870.197125100511	807.721151099099	779.5541557847749
YJL147C	561.068028380162	534.328412204837	505.482001977491	472.94077722697	445.14962702663803	451.490060351157	398.28168361883695	361.987161007546	365.28654103869695	344.39334796006597	329.748015718401	357.894130959543	325.820715006458	356.231807276674
RRI1	185.36820210332002	182.96916468768902	132.075529390781	178.429947004777	177.928044380634	182.89674450906503	176.096865084472	185.50124505558398	181.80196572830502	190.39241890891498	181.572568661261	176.988485683889	179.821812478042	197.339980244449
SPCC895.03c	254.944995968544	237.04497950662102	449.928438251423	259.489700933434	217.51730868634	262.292463619188	260.870583117883	217.34276408545503	236.261411270931	179.237786662484	190.863552744283	273.334127391295	253.597828798643	224.45162662826198
YNL320W	1769.0466574498998	1592.80495337203	1473.45610988923	1628.14252531472	1611.8500411378	1466.32400865056	1572.63634511083	1798.6405825753197	1673.80450677543	1896.12624023284	1887.1743170388897	1846.90144350337	1754.63474488638	1895.8792966340802
STE20	2747.28755849048	2881.67265838815	2574.51432322412	2221.2495939698397	2426.69664622453	2440.15774307379	2433.7989518350896	2479.17845024864	2432.99235436817	2511.82729539164	2368.74084867357	2358.09896960715	2366.42999245718	2372.93301453082
GRE1	3425.4190853140803	307.043063351211	181.778313979882	166.26636776916502	156.881592642211	166.098453303004	170.236057492865	133.26859991581998	148.195096991118	137.10190248958	130.213719674379	149.013440073325	131.124071040675	130.082573767554
SPBC11C11.06c	151.827583529343	158.468624822019	180.860451692323	150.49266326036002	140.998534171964	141.903419286387	149.387264474027	144.62631326605802	145.24669003586598	140.624599404454	143.35163582408998	160.031253328151	154.896414239144	159.157910360101
MRPL31	2595.3443175778198	2840.65551651702	3441.3561047865	3111.53474798612	3040.3985249857	3732.28614085585	3578.17007063781	3411.4550089482204	3357.3286426588597	3095.59461170135	3521.4752102026896	3633.3586090800104	3599.70052630878	3400.42553955458
SPC98	262.055909392747	330.62795999170396	392.344470313011	628.155068599507	940.2341055440589	702.086899234625	366.13923150424796	303.748757057991	387.432107613837	551.295107448716	551.931059271133	431.39989017562897	447.998069376911	414.63086638739
SPBC83.16c	127.98643345472901	125.795290655592	114.755332413353	129.24464933498	116.737083927523	126.22969793528601	130.45312389376699	125.96340388503201	130.640309460648	130.485324025511	131.648563112401	136.604472334804	134.59336371147498	122.52420527605699
