gene_ID	60	80	100	120	140	160	180	200	220	240	260
FOX2	780.405397730278	709.1012073223179	745.984735598175	628.676468276026	741.4345608425031	763.477041404744	955.344720345809	1110.40653176982	1048.14273914611	983.671123741477	1041.4581128898599
SPCC18.05c	88.76057716175899	97.4599040250713	96.08112971227689	89.79945746364339	102.729731300718	112.40369490444598	105.445986831116	119.74548936188499	126.143042904271	131.359035018735	130.815890713263
YDL157C	4710.96594916659	6013.879732502171	6546.15163761798	6597.267938739301	6320.32096927436	4772.62863185282	5016.0272216068	5270.38448394325	5261.31498892476	5415.24039540786	5323.20735883863
PCL6	582.342137673869	547.483221535727	574.307252207588	564.520820086525	626.44002039723	646.8155667371669	663.430596755818	707.879569132551	539.753512424126	551.904026439012	592.503806340884
PKP2	366.296365305861	177.558927660468	218.404589266274	204.491518351842	257.178463631959	293.20451787224	332.35559252273	348.731629489132	342.838996024529	275.233289250234	272.667711458794
PHO8	1244.2470317926	1154.81069872209	1511.55726681416	1666.1611619049402	1823.38790483733	1764.5192434168	1803.2984336022898	2218.99188233096	2417.28325267335	2386.64854143485	2613.03924114246
SPAC750.05c  SPAC977.01  SPBC1348.02  SPBPB2B2.19c	115.00703650890301	134.44719032349101	142.787437385955	128.47723262613502	153.469201628328	141.624335086229	148.81317948243	157.165966333494	177.402284915672	171.395209849377	168.636982755313
DAT1	901.519976653538	862.4471601120979	745.6133006912959	644.546504245076	624.40853162976	604.182430665227	576.526560762339	555.50257979129	472.41921256075	486.38034293884004	514.736414271183
SPCC830.06	96.58505793577079	73.3940630776816	104.495355427249	70.9152799097391	97.24165072655659	60.565330677451705	105.99418107570601	104.04481912911601	90.50505117017299	125.739574854711	135.792198783252
COA1	1060.3925956884698	3021.1652967060804	3171.5385570367303	1676.36888670111	3572.8919122488396	2337.09894866755	2988.81754716192	3008.55035277476	2057.37259815053	2470.4688479245497	3223.5343112400897
YPR003C	373.16092559251604	388.472110161485	378.74588012356696	424.01997009317	500.955961324346	487.84808037221603	508.926923198613	554.930059620244	605.689353226268	611.393074443371	607.912227403107
AIF1	1276.5644993851402	1617.78184228953	1377.9288502897598	1272.73229370006	1213.7252569878199	1192.11245838457	1493.2710072712198	1448.8330105227801	1440.50371012704	1421.87574332589	1460.59946753692
YLR154C-H  YLR156C-A  YLR157C-C  YLR159C-A	1086.43891497135	1699.28441007831	1941.0850955889398	2209.9247023161397	2310.9336960099104	2029.6130364286998	3164.21551540547	2767.88953583076	1955.55120711073	2476.00157002044	2680.2167696639003
PRP40	1428.35339952496	1507.6327380471803	1212.2024190759698	1017.5493991297501	1046.15533804309	962.260861147283	1009.1252895795401	1137.86619554827	935.614462294516	992.03618174609	1048.70597160429
YJL147C	875.955684604703	930.34514309569	842.729054163728	734.5803742363071	768.959645182292	749.2347356063001	624.503960053249	696.035945718131	561.410774299474	419.464687141209	423.88798313515997
RRI1	174.275000255361	158.719049973373	151.105331257031	164.792360955623	139.320941352071	146.18251331857098	143.805242141772	184.130551916723	170.408261332297	167.600116438203	180.40577493990898
SPCC895.03c	68.5802307521234	73.1882260391709	75.6891840997977	72.314937215322	58.561347622804796	63.936269871706706	70.1133771868612	79.08749495372491	87.32082129905831	84.3602309221363	86.9282486366141
YNL320W	1221.19293434731	1345.43508124589	1868.46062551533	2240.15860949542	2505.32507619453	2550.51519900227	2975.29153065456	3504.3940785242603	3452.13861286182	3711.9703417355895	3995.67980494825
STE20	3543.50672321776	3518.89445751729	2728.39183861564	1938.99731345519	2232.2809026268696	2198.09500376441	2134.88670979888	2592.25112677058	2147.2031564267604	2064.00738296504	2191.6045903394197
GRE1	1286.0001724368199	281.171392367076	207.356685559187	179.02294134942102	178.331661677977	184.009645214818	182.322490389931	160.005212213076	161.57380684539302	166.329843567939	166.348512599152
SPBC11C11.06c	105.731546609938	137.037252474278	186.536985580783	121.13526336051399	197.95202392609198	164.352437173299	148.158175653336	196.27761153730802	211.93303913114	226.93793214297997	192.30896896365897
MRPL31	4372.668490871911	6190.49636164973	6240.7566667028195	4715.43932075955	5944.9118023319	5092.20383341493	5614.20154324299	5853.599601313921	6148.73779536697	5921.190422366811	5451.20297517315
SPC98	571.883013234767	527.489601789875	605.0120492166079	1034.36021725108	644.123744575457	477.764378362125	275.644942265951	236.212187432966	280.655434657554	296.8221277971	277.060253847616
SPBC83.16c	185.524603302739	258.60385414778096	296.778170620765	251.35620898365897	289.882417776092	292.75081635918497	288.41986355695	259.287784300254	312.698076074953	282.494359208202	282.09068349139596
OAR1	233.272319208218	288.552296580548	322.203400886429	165.911264107987	279.475435950574	249.397371034082	280.34894844917005	258.21437440578603	259.54877516294204	238.862207618214	210.311258118108
AMD1	1598.59967582055	1511.6234212502302	1423.29359939193	1321.6680130066	1468.85049066276	1502.50838975354	1692.82350783301	1620.6884726790197	1726.46226792874	1665.50709851808	1704.53266597014
SBH1	4849.9167663621	5992.93763523669	7349.87353459592	8561.31103652624	8569.25761203448	8051.4382012464	7469.634009849009	6814.688089755279	7411.8522816053	7693.500960769741	6811.52820622255
POT1	107.946990743076	86.9553780101314	89.02298813959558	73.4153344693034	84.8614227474695	85.0969600762558	95.0435695076194	97.7119965407621	113.22368457574301	114.00604907511601	107.09490791564001
YLR050C	3486.1558541213203	3227.8353441704303	4062.42968657567	4932.71221799043	3258.5974788755602	1955.6683798844601	1111.2900314105198	1860.89663163663	1830.4433501715198	2682.28031464303	3416.5879374448305
